Site,Metric,Value,Display_Format
University of California San Francisco,Respiratory rate,"16.00 [12.00,22.00]",text
University of California San Francisco,Tidal Volume,"450.00 [380.00,500.00]",text
University of Chicago,Years,2019-2024,text
University of Chicago,Hospitals ,1,number
University of Chicago,N: ICU encounters,26870,number
University of Chicago,N: Unique patients,21384,number
University of Chicago,Sex n (%): Female,9369 (43.8%),text
University of Chicago,Race n (%): Black,13017 (60.9%),text
University of Chicago,Race n (%): White,5789 (27.1%),text
University of Chicago,Race n (%): Other,2578(2.8%),text
University of Chicago,Ethnicity n (%): Hispanic,1353 (6.3%),text
University of Chicago,"Total hospital days, median [Q1,Q3]","8.1 [4.3,15.0]",text
University of Chicago,"Total ICU days, median [Q1,Q3]","1.8 [1.0,3.3]",text
University of Chicago,Hospital mortality n (%),4227 (15.7%),text
University of Chicago,"SOFA-97 TOTAL, median [Q1,Q3]","4.0 [2.0,7.0]",text
University of Chicago,Vasopressor encounters n (%),11510.0 (42.8%),text
University of Chicago,"Phenylephrine dose, median [Q1,Q3]","0.50 [0.15,1.62]",text
University of Chicago,"Norepinephrine dose, median [Q1,Q3]","0.08 [0.03,0.24]",text
University of Chicago,"Vasopressin dose, median [Q1,Q3]","0.03 [0.02,0.04]",text
University of Chicago,"Angiotensin dose, median [Q1,Q3]","0.02 [0.01,0.04]",text
University of Chicago,"Dopamine dose, median [Q1,Q3]","3.75 [2.00,8.75]",text
University of Chicago,"Epinephrine dose, median [Q1,Q3]","0.04 [0.01,0.08]",text
University of Chicago,IMV encounters n (%),11361 (42.3%),text
University of Chicago,First location of intubation n(%),,
University of Chicago,ICU,7868 (69.3%),text
University of Chicago,ED,3124 (27.5%),text
University of Chicago,Procedural,247 (2.2%),text
University of Chicago,Ward,122 (1.1%),text
University of Chicago,Other,0(0%),text
University of Chicago,Initial Mode of IMV n(%),,
University of Chicago,Assist Control-Volume Control,10248 (90.2%),text
University of Chicago,Pressure-Regulated Volume Control,12 (0.1%),text
University of Chicago,SIMV,159 (1.4%),text
University of Chicago,Pressure support/CPAP,486 (4.3%),text
University of Chicago,Pressure Control,227 (2.0%),text
University of Chicago,Volume Support,41 (0.4%),text
University of Chicago,Other,188(1.65%),text
University of Chicago,"Ventilator settings Median [Q1, Q2]",,
University of Chicago,Peep,"5.00 [5.00,5.00]",text
University of Chicago,FiO2,"0.40 [0.40,0.60]",text
University of Chicago,Respiratory rate,"16.00 [12.00,20.00]",text
University of Chicago,Tidal Volume,"440.00 [380.00,460.00]",text
University of Michigan,Years,2018-2024,text
University of Michigan,Hospitals ,1,number
University of Michigan,N: ICU encounters,40584,number
University of Michigan,N: Unique patients,34600,number
University of Michigan,Sex n (%): Female,14628 (42.3%),text
University of Michigan,Race n (%): Black,3611 (10.4%),text
University of Michigan,Race n (%): White,28148 (81.4%),text
University of Michigan,Race n (%): Other,2841(3%),text
University of Michigan,Ethnicity n (%): Hispanic,875 (2.5%),text
University of Michigan,"Total hospital days, median [Q1,Q3]","8.3 [4.5,15.7]",text
University of Michigan,"Total ICU days, median [Q1,Q3]","1.9 [0.9,3.8]",text
University of Michigan,Hospital mortality n (%),5918 (14.6%),text
University of Michigan,"SOFA-97 TOTAL, median [Q1,Q3]","5.0 [2.0,8.0]",text
University of Michigan,Vasopressor encounters n (%),15865.0 (39.1%),text
University of Michigan,"Phenylephrine dose, median [Q1,Q3]","0.50 [0.13,1.15]",text
University of Michigan,"Norepinephrine dose, median [Q1,Q3]","0.05 [0.01,0.13]",text
University of Michigan,"Vasopressin dose, median [Q1,Q3]","0.03 [0.02,0.06]",text
University of Michigan,"Angiotensin dose, median [Q1,Q3]","0.02 [0.01,0.04]",text
University of Michigan,"Dopamine dose, median [Q1,Q3]","3.00 [2.00,5.00]",text
University of Michigan,"Epinephrine dose, median [Q1,Q3]","0.02 [0.01,0.04]",text
University of Michigan,IMV encounters n (%),19124 (47.1%),text
University of Michigan,First location of intubation n(%),,
University of Michigan,ICU,15505 (81.1%),text
University of Michigan,ED,3155 (16.5%),text
University of Michigan,Procedural,129 (0.7%),text
University of Michigan,Ward,112 (0.6%),text
University of Michigan,Other,223(1.17%),text
University of Michigan,Initial Mode of IMV n(%),,
University of Michigan,Assist Control-Volume Control,5219 (27.3%),text
University of Michigan,Pressure-Regulated Volume Control,12564 (65.7%),text
University of Michigan,SIMV,29 (0.2%),text
University of Michigan,Pressure support/CPAP,214 (1.1%),text
University of Michigan,Pressure Control,712 (3.7%),text
University of Michigan,Volume Support,,text
University of Michigan,Other,386(2.02%),text
University of Michigan,"Ventilator settings Median [Q1, Q2]",,
University of Michigan,Peep,"5.00 [5.00,10.00]",text
University of Michigan,FiO2,"0.40 [0.30,0.70]",text
University of Michigan,Respiratory rate,"16.00 [14.00,20.00]",text
University of Michigan,Tidal Volume,"450.00 [365.00,500.00]",text
University of Minnesota,Years,2017-2024,text
University of Pennsylvania,Hospitals ,6,number
University of Pennsylvania,N: ICU encounters,125249,number
University of Pennsylvania,N: Unique patients,97933,number
University of Pennsylvania,Sex n (%): Female,43452 (44.4%),text
University of Pennsylvania,Race n (%): Black,29864 (30.5%),text
University of Pennsylvania,Race n (%): White,55701 (56.9%),text
University of Pennsylvania,Race n (%): Other,12368(13.2%),text
University of Pennsylvania,Ethnicity n (%): Hispanic,3555 (3.6%),text
University of Pennsylvania,"Total hospital days, median [Q1,Q3]","6.9 [3.6,13.2]",text
University of Pennsylvania,"Total ICU days, median [Q1,Q3]","1.7 [0.9,3.1]",text
University of Pennsylvania,Hospital mortality n (%),19403 (15.5%),text
University of Pennsylvania,"SOFA-97 TOTAL, median [Q1,Q3]","4.0 [2.0,6.0]",text
University of Pennsylvania,Vasopressor encounters n (%),51131.0 (40.8%),text
University of Pennsylvania,"Phenylephrine dose, median [Q1,Q3]","0.46 [0.12,1.27]",text
University of Pennsylvania,"Norepinephrine dose, median [Q1,Q3]","0.05 [0.01,0.13]",text
University of Pennsylvania,"Vasopressin dose, median [Q1,Q3]","0.03 [0.02,0.04]",text
University of Pennsylvania,"Angiotensin dose, median [Q1,Q3]",,text
University of Pennsylvania,"Dopamine dose, median [Q1,Q3]","4.00 [1.50,8.75]",text
University of Pennsylvania,"Epinephrine dose, median [Q1,Q3]","0.02 [0.01,0.05]",text
University of Pennsylvania,IMV encounters n (%),46830 (37.4%),text
University of Pennsylvania,First location of intubation n(%),,
University of Pennsylvania,ICU,39646 (84.7%),text
University of Pennsylvania,ED,5103 (10.9%),text
University of Pennsylvania,Procedural,1054 (2.3%),text
University of Pennsylvania,Ward,346 (0.7%),text
University of Pennsylvania,Other,681(1.45%),text
University of Pennsylvania,Initial Mode of IMV n(%),,
University of Pennsylvania,Assist Control-Volume Control,29948 (64.0%),text
University of Pennsylvania,Pressure-Regulated Volume Control,6 (0.0%),text
University of Pennsylvania,SIMV,13701 (29.3%),text
University of Pennsylvania,Pressure support/CPAP,2268 (4.8%),text
University of Pennsylvania,Pressure Control,274 (0.6%),text
University of Pennsylvania,Volume Support,3 (0.0%),text
University of Pennsylvania,Other,630(1.35%),text
University of Pennsylvania,"Ventilator settings Median [Q1, Q2]",,
University of Pennsylvania,Peep,"5.00 [5.00,8.00]",text
University of Pennsylvania,FiO2,"0.40 [0.35,0.60]",text
University of Pennsylvania,Respiratory rate,"19.00 [14.75,25.00]",text
University of Pennsylvania,Tidal Volume,"450.00 [400.00,500.00]",text
University of Toronto,Years,2013-2021,text
University of Toronto,Hospitals ,3,number
University of Toronto,N: ICU encounters,13259,number
University of Toronto,N: Unique patients,12658,number
University of Toronto,Sex n (%): Female,4266 (33.7%),text
University of Toronto,Race n (%): Black,,text
University of Toronto,Race n (%): White,,text
University of Toronto,Race n (%): Other,12658 (100.0%),text
University of Toronto,Ethnicity n (%): Hispanic,,text
University of Toronto,"Total hospital days, median [Q1,Q3]","11.0 [6.2,20.1]",text
University of Toronto,"Total ICU days, median [Q1,Q3]","2.8 [1.2,5.8]",text
University of Toronto,Hospital mortality n (%),1971 (14.9%),text
University of Toronto,"SOFA-97 TOTAL, median [Q1,Q3]","4.0 [2.0,6.0]",text
University of Toronto,Vasopressor encounters n (%),4467.0 (33.7%),text
University of Toronto,"Phenylephrine dose, median [Q1,Q3]","0.91 [0.20,2.35]",text
University of Toronto,"Norepinephrine dose, median [Q1,Q3]","0.06 [0.02,0.18]",text
University of Toronto,"Vasopressin dose, median [Q1,Q3]","0.04 [0.02,0.07]",text
University of Toronto,"Angiotensin dose, median [Q1,Q3]",,text
University of Toronto,"Dopamine dose, median [Q1,Q3]","2.00 [1.20,6.00]",text
University of Toronto,"Epinephrine dose, median [Q1,Q3]","0.04 [0.00,0.07]",text
University of Toronto,IMV encounters n (%),7869 (59.3%),text
University of Toronto,First location of intubation n(%),,
University of Toronto,ICU,4141 (52.6%),text
University of Toronto,ED,2350 (29.9%),text
University of Toronto,Procedural,1099 (14.0%),text
University of Toronto,Ward,172 (2.2%),text
University of Toronto,Other,107(1.36%),text
University of Toronto,Initial Mode of IMV n(%),,
University of Toronto,Assist Control-Volume Control,6626 (84.2%),text
University of Toronto,Pressure-Regulated Volume Control,,text
University of Toronto,SIMV,,text
University of Toronto,Pressure support/CPAP,705 (9.0%),text
University of Toronto,Pressure Control,538 (6.8%),text
University of Toronto,Volume Support,,text
University of Toronto,Other,0 (0%),text
University of Toronto,"Ventilator settings Median [Q1, Q2]",,
University of Toronto,Peep,"5.00 [5.00,8.00]",text
University of Toronto,FiO2,"0.35 [0.25,0.50]",text
University of Toronto,Respiratory rate,"12.00 [0.00,22.00]",text
University of Toronto,Tidal Volume,"443.72 [358.33,566.67]",text
MIMIC IV,Years,2008-2019,text
MIMIC IV,Hospitals ,1,number
MIMIC IV,N: ICU encounters,85162,number
MIMIC IV,N: Unique patients,64954,number
MIMIC IV,Sex n (%): Female,28130 (43.3%),text
MIMIC IV,Race n (%): Black,6061 (9.3%),text
MIMIC IV,Race n (%): White,43795 (67.4%),text
MIMIC IV,Race n (%): Other,15098(16.1%),text
MIMIC IV,Ethnicity n (%): Hispanic,2352 (3.6%),text
MIMIC IV,"Total hospital days, median [Q1,Q3]","7.0 [4.2,12.2]",text
MIMIC IV,"Total ICU days, median [Q1,Q3]","1.4 [0.8,2.8]",text
MIMIC IV,Hospital mortality n (%),12073 (14.2%),text
MIMIC IV,"SOFA-97 TOTAL, median [Q1,Q3]","4.0 [2.0,6.0]",text
MIMIC IV,Vasopressor encounters n (%),27124.0 (31.8%),text
MIMIC IV,"Phenylephrine dose, median [Q1,Q3]","0.50 [0.13,1.45]",text
MIMIC IV,"Norepinephrine dose, median [Q1,Q3]","0.07 [0.02,0.20]",text
MIMIC IV,"Vasopressin dose, median [Q1,Q3]","0.03 [0.01,0.04]",text
MIMIC IV,"Angiotensin dose, median [Q1,Q3]","0.03 [0.01,0.04]",text
MIMIC IV,"Dopamine dose, median [Q1,Q3]","4.01 [1.25,8.50]",text
